isin,name,ask,bid,currency,dt
it0006772583,MU Tesla intel oracle,902.05,0.00,EUR,2026-04-08-23-11-23
it0006771353,STMicroelectronics NV Intel Corp Advanced Micro Devices Inc Broadcom Inc,1016.95,0.00,EUR,2026-04-08-23-11-23
IT0006770512,BNP Paribas SA UniCredit SpA Banco BPM SpA,974.69,0.00,EUR,2026-04-08-23-11-23
IT0006771148,Eni SpA TotalEnergies SE Chevron Corp Occidental Petroleum Corp,1014.76,0.00,EUR,2026-04-08-23-11-23
IT0006767823,Palantir Technologies Inc Microsoft Corp Amazon.com Inc NVIDIA Corp,995.41,0.00,EUR,2026-04-08-23-11-23
IT0006772062,Banco BPM SpA Societe Generale SA Banca Monte dei Paschi di Siena Commerzbank AG,901.83,0.00,EUR,2026-04-08-23-11-23
