isin,name,ask,bid,currency,dt
IT0006772062,Banco BPM SpA Societe Generale SA Banca Monte dei Paschi di Siena Commerzbank AG,843.54,0.00,EUR,2026-03-06-17-20-01
it0006771353,STMicroelectronics NV Intel Corp Advanced Micro Devices Inc Broadcom Inc,975.25,0.00,EUR,2026-03-06-17-20-01
IT0006770512,BNP Paribas SA UniCredit SpA Banco BPM SpA,947.19,0.00,EUR,2026-03-06-17-20-01
it0006772583,MU Tesla intel oracle,944.31,0.00,EUR,2026-03-06-17-20-01
IT0006767823,Palantir Technologies Inc Microsoft Corp Amazon.com Inc NVIDIA Corp,1000.68,0.00,EUR,2026-03-06-17-20-01
IT0006771148,Eni SpA TotalEnergies SE Chevron Corp Occidental Petroleum Corp,1013.80,0.00,EUR,2026-03-06-17-20-01
