isin,name,ask,bid,currency,dt
it0006772583,MU Tesla intel oracle,860.83,0.00,EUR,2026-03-31-14-06-05
IT0006770512,BNP Paribas SA UniCredit SpA Banco BPM SpA,932.29,0.00,EUR,2026-03-31-14-06-05
IT0006771148,Eni SpA TotalEnergies SE Chevron Corp Occidental Petroleum Corp,1014.90,0.00,EUR,2026-03-31-14-06-05
it0006771353,STMicroelectronics NV Intel Corp Advanced Micro Devices Inc Broadcom Inc,957.20,0.00,EUR,2026-03-31-14-06-05
IT0006772062,Banco BPM SpA Societe Generale SA Banca Monte dei Paschi di Siena Commerzbank AG,850.69,0.00,EUR,2026-03-31-14-06-05
IT0006767823,Palantir Technologies Inc Microsoft Corp Amazon.com Inc NVIDIA Corp,989.22,0.00,EUR,2026-03-31-14-06-05
