id,labels,parents,values
Technology|Quantum-Computing|NYSE,Technology,Quantum-Computing|NYSE,-13.81
Technology|Space and Satellite Technology|NYSE,Technology,Space and Satellite Technology|NYSE,-11.29
Technology|Semiconductors|EPA,Technology,Semiconductors|EPA,-4.91
Energy|Oil and Gas Integrated|EPA,Energy,Oil and Gas Integrated|EPA,-1.49
Healthcare|Pharmaceuticals|NYSE,Healthcare,Pharmaceuticals|NYSE,5.62
Communication Services|Internet and Media|NASDAQ,Communication Services,Internet and Media|NASDAQ,-4.44
Basic Materials|Gold Mining|NYSE,Basic Materials,Gold Mining|NYSE,-3.53
Industrials|Energy Equipment and Services|XETRA,Industrials,Energy Equipment and Services|XETRA,-2.26
Industrials|Aerospace and Defense|BIT,Industrials,Aerospace and Defense|BIT,-1.51
Financial|ETF|NYSE,Financial,ETF|NYSE,-4.82
Industrials|Aerospace and Defense|NASDAQ,Industrials,Aerospace and Defense|NASDAQ,-14.69
Financial Services|Banks-Diversified|BME,Financial Services,Banks-Diversified|BME,1.09
Energy|Oil and Gas Exploration and Production|NYSE,Energy,Oil and Gas Exploration and Production|NYSE,-0.22
Technology|Computer Hardware|NASDAQ,Technology,Computer Hardware|NASDAQ,-8.22
Consumer Cyclical|Travel and Leisure|NYSE,Consumer Cyclical,Travel and Leisure|NYSE,0.61
Utilities|Electric Utilities|BIT,Utilities,Electric Utilities|BIT,-3.1
Automotive|Automotive|XETRA,Automotive,Automotive|XETRA,-0.92
ETF|Emerging Markets Equity|NYSE,ETF,Emerging Markets Equity|NYSE,-1.53
Financial|Insurance|BIT,Financial,Insurance|BIT,1.64
Financial Services|Banks|BIT,Financial Services,Banks|BIT,1.67
Energy|Oil and Gas|OSLO,Energy,Oil and Gas|OSLO,-0.67
Financials|Financial Services|BIT,Financials,Financial Services|BIT,0.96
Financials|Multi-line Insurance|BIT,Financials,Multi-line Insurance|BIT,2.24
Technology|Semiconductors|BIT,Technology,Semiconductors|BIT,-4.84
Financial Services|Insurance|XETRA,Financial Services,Insurance|XETRA,1.8
Technology|Quantum-Computing|NASDAQ,Technology,Quantum-Computing|NASDAQ,-7.54
Consumer Defensive|Household and Personal Products|NYSE,Consumer Defensive,Household and Personal Products|NYSE,2.84
Financials|Banking|BIT,Financials,Banking|BIT,1.18
Energy|Gas Utilities|BIT,Energy,Gas Utilities|BIT,-0.33
Consumer Cyclical|Restaurants|XETRA,Consumer Cyclical,Restaurants|XETRA,0.05
