isin,name,ask,bid,currency,dt
IT0006772062,Banco BPM SpA Societe Generale SA Banca Monte dei Paschi di Siena Commerzbank AG,1008.50,0.00,EUR,2026-06-03-10-22-18
it0006772583,MU Tesla intel oracle,1026.46,0.00,EUR,2026-06-03-10-22-18
IT0006775891,ASML Holding NV Intel Corp STMicroelectronics NV - Coupon: 29.00 Barrier: 55%,962.38,0.00,EUR,2026-06-03-10-22-18
IT0006772351,Nvidia AMD Alphabet Palantir,994.33,0.00,EUR,2026-06-03-10-22-18
IT0006770512,BNP Paribas SA UniCredit SpA Banco BPM SpA,1017.28,0.00,EUR,2026-06-03-10-22-18
