isin;name;ask;bid;currency;dt
IT0006772351;Nvidia AMD Alphabet Palantir;1023.95;0.00;EUR;2026-08-14-14-08-22
IT0006775891;ASML Holding NV Intel Corp STMicroelectronics NV - Coupon: 29.00 Barrier: 55%;919.85;0.00;EUR;2026-08-14-14-08-22
IT0006776220;EURO STOXX Banks Price EUR, Nikkei 225, Nasdaq-100 Index, FTSE MIB Index 0.96%;-;0.00;EUR;2026-08-14-14-08-22
IT0006773052;Nasdaq-100 Index, iShares MSCI Brazil ETF, iShares China Large-Cap ETF, EURO STOXX Banks 0.79%;962.41;0.00;EUR;2026-08-14-14-08-22
