isin,name,ask,bid,currency,dt
it0006772583,MU Tesla intel oracle,1020.86,0.00,EUR,2026-05-22-10-29-15
IT0006775891,ASML Holding NV Intel Corp STMicroelectronics NV - Coupon: 29.00 Barrier: 55%,980.00,0.00,EUR,2026-05-22-10-29-15
IT0006772351,Nvidia AMD Alphabet Palantir,993.06,0.00,EUR,2026-05-22-10-29-15
IT0006772062,Banco BPM SpA Societe Generale SA Banca Monte dei Paschi di Siena Commerzbank AG,996.20,0.00,EUR,2026-05-22-10-29-15
IT0006770512,BNP Paribas SA UniCredit SpA Banco BPM SpA,1003.90,0.00,EUR,2026-05-22-10-29-15
